Var1,Var2
64558,1
60502,2
57040,3
71083,4
68209,5
71046,6
61096,7
68132,8
71590,9
74631,10
62999,11
46014,12
82394,13
78999,14
85056,15
71999,16
66805,17
63076,18
67197,19
65151,20
64556,1
60489,2
57040,3
72087,4
68209,5
71046,6
61096,7
69137,8
71575,9
74649,10
62999,11
46014,12
82382,13
78999,14
85056,15
71999,16
65808,17
63072,18
67197,19
66151,20
64543,1
61485,2
57040,3
71091,4
68216,5
71046,6
60093,7
69137,8
71574,9
74650,10
62999,11
46014,12
82383,13
78999,14
85056,15
71999,16
65808,17
64072,18
67204,19
66151,20
64543,1
60487,2
58041,3
71095,4
68216,5
71046,6
60092,7
68137,8
71560,9
74650,10
62999,11
46014,12
82372,13
78999,14
85056,15
70999,16
66805,17
64068,18
67210,19
66151,20
64541,1
61485,2
58041,3
71099,4
68223,5
71046,6
60093,7
68137,8
71560,9
74650,10
62999,11
46014,12
82382,13
79999,14
85056,15
71999,16
66805,17
63065,18
67204,19
65146,20
64543,1
61513,2
58041,3
72103,4
68223,5
71046,6
60093,7
69142,8
71559,9
74632,10
62999,11
46015,12
82372,13
78999,14
85056,15
71999,16
65785,17
64065,18
67204,19
66151,20
64543,1
60515,2
58041,3
71099,4
68223,5
71046,6
61096,7
69142,8
72573,9
74632,10
61999,11
46015,12
82416,13
78999,14
85056,15
71999,16
65785,17
65064,18
67210,19
65146,20
64541,1
60500,2
57042,3
72099,4
68223,5
71046,6
61096,7
68137,8
71559,9
74632,10
62999,11
46015,12
82440,13
78999,14
85056,15
71999,16
65785,17
64061,18
67210,19
65146,20
64541,1
60500,2
57042,3
72099,4
68230,5
71046,6
61096,7
68137,8
71559,9
73633,10
62999,11
46015,12
82428,13
79999,14
85056,15
71999,16
65785,17
65061,18
67210,19
65146,20
64541,1
60487,2
58043,3
73098,4
68230,5
70046,6
61096,7
68137,8
71559,9
73650,10
62999,11
46015,12
82416,13
78999,14
85056,15
71999,16
66782,17
63062,18
67210,19
65146,20
64541,1
60500,2
58043,3
72094,4
68230,5
69046,6
60092,7
69142,8
71559,9
73650,10
62999,11
46015,12
82382,13
78999,14
85056,15
71999,16
65765,17
63062,18
67204,19
65146,20
64541,1
61526,2
58043,3
73094,4
68230,5
70046,6
60092,7
69142,8
72588,9
74667,10
62999,11
46015,12
82372,13
78999,14
85056,15
71999,16
66763,17
63062,18
66198,19
65146,20
64541,1
60528,2
58043,3
72091,4
68230,5
70046,6
60092,7
69142,8
72588,9
74667,10
61999,11
46015,12
82383,13
78999,14
85056,15
71999,16
66760,17
64065,18
67197,19
65146,20
64528,1
60528,2
58043,3
72091,4
68230,5
69046,6
60092,7
69142,8
72587,9
73650,10
62999,11
46015,12
82394,13
79999,14
85056,15
70999,16
66760,17
63058,18
67197,19
65146,20
64528,1
60528,2
57042,3
72091,4
68223,5
69046,6
61092,7
69142,8
72573,9
73633,10
62999,11
46015,12
82405,13
79999,14
85056,15
70999,16
66760,17
65061,18
66198,19
65146,20
63529,1
60500,2
58041,3
72095,4
68223,5
70048,6
61092,7
68142,8
72572,9
73617,10
62999,11
46015,12
82394,13
78999,14
85056,15
70999,16
66739,17
65061,18
67203,19
65146,20
63529,1
61483,2
58041,3
72095,4
68223,5
70048,6
60089,7
68142,8
72571,9
73617,10
62999,11
46015,12
82382,13
78999,14
85056,15
71999,16
66722,17
65058,18
67203,19
65146,20
64541,1
61485,2
58041,3
72095,4
68223,5
70048,6
60089,7
69142,8
72557,9
73617,10
62999,11
46015,12
82383,13
79999,14
85056,15
71999,16
66722,17
65057,18
66198,19
65146,20
64541,1
60472,2
58041,3
72095,4
68230,5
70049,6
60089,7
69142,8
72557,9
73617,10
62999,11
46015,12
82383,13
79999,14
85056,15
71999,16
66722,17
65055,18
66198,19
66145,20
64541,1
60472,2
58041,3
71095,4
67224,5
70049,6
60089,7
69142,8
72556,9
73585,10
62999,11
46015,12
82383,13
78999,14
85056,15
70999,16
67736,17
66054,18
66204,19
66145,20
64541,1
60461,2
58041,3
71095,4
67217,5
70049,6
60089,7
69142,8
72556,9
73584,10
62999,11
46015,12
82394,13
79999,14
85056,15
71999,16
66719,17
66054,18
67211,19
66145,20
64541,1
61470,2
58041,3
72103,4
67217,5
70048,6
60092,7
69142,8
72557,9
73600,10
62999,11
46015,12
82394,13
79999,14
85056,15
71999,16
66719,17
65055,18
66204,19
66145,20
64541,1
60487,2
58041,3
71103,4
68223,5
70049,6
60089,7
69142,8
72556,9
73601,10
62999,11
46015,12
82394,13
79999,14
85056,15
71999,16
66701,17
65055,18
67217,19
66145,20
64541,1
60487,2
58041,3
71103,4
68223,5
70048,6
60089,7
68137,8
72542,9
73601,10
61999,11
46015,12
82394,13
79999,14
85056,15
70999,16
66701,17
64055,18
66211,19
66145,20
64528,1
61485,2
58041,3
71103,4
68223,5
70046,6
60089,7
69137,8
72542,9
73585,10
62999,11
46015,12
82383,13
79999,14
85056,15
70999,16
67717,17
63052,18
66212,19
66145,20
64528,1
60487,2
58041,3
72103,4
68223,5
70046,6
61088,7
69137,8
72556,9
73585,10
62999,11
46015,12
83382,13
79999,14
85056,15
70999,16
66701,17
64052,18
66211,19
66145,20
64528,1
60472,2
58041,3
72103,4
68223,5
70048,6
61088,7
69137,8
72556,9
73585,10
62999,11
46015,12
82372,13
78999,14
85056,15
70999,16
66698,17
63052,18
66211,19
66145,20
64528,1
60472,2
58041,3
72098,4
68230,5
71048,6
60089,7
69136,8
72556,9
73585,10
61999,11
46015,12
82361,13
78999,14
85056,15
70999,16
66698,17
63052,18
67218,19
66150,20
